lineup,rating,players
Ayton/Bronny/Grimes/LaRavia/Thiero,-7.89,"Ayton,Bronny,Grimes,LaRavia,Thiero"
Ayton/Grimes/LaRavia/Luka/Reaves,4.7,"Ayton,Grimes,LaRavia,Luka,Reaves"
Ayton/Grimes/LaRavia/Luka/Sandro,6.56,"Ayton,Grimes,LaRavia,Luka,Sandro"
Ayton/Grimes/LaRavia/Luka/Thiero,1.64,"Ayton,Grimes,LaRavia,Luka,Thiero"
Ayton/Grimes/LaRavia/Reaves/Sandro,2.72,"Ayton,Grimes,LaRavia,Reaves,Sandro"
Ayton/Grimes/LaRavia/Reaves/Thiero,4.02,"Ayton,Grimes,LaRavia,Reaves,Thiero"
Ayton/Grimes/Luka/Reaves/Sandro,2.65,"Ayton,Grimes,Luka,Reaves,Sandro"
Ayton/Grimes/Luka/Reaves/Vanderbilt,3.26,"Ayton,Grimes,Luka,Reaves,Vanderbilt"
Ayton/Grimes/Luka/Sandro/Thiero,5.0,"Ayton,Grimes,Luka,Sandro,Thiero"
Ayton/Grimes/Luka/Sandro/Vanderbilt,4.06,"Ayton,Grimes,Luka,Sandro,Vanderbilt"
Ayton/Grimes/Luka/Sexton/Thiero,1.89,"Ayton,Grimes,Luka,Sexton,Thiero"
Ayton/Grimes/Luka/Sexton/Vanderbilt,0.43,"Ayton,Grimes,Luka,Sexton,Vanderbilt"
Ayton/Grimes/Luka/Thiero/Vanderbilt,2.58,"Ayton,Grimes,Luka,Thiero,Vanderbilt"
Ayton/Grimes/Reaves/Sandro/Thiero,-0.06,"Ayton,Grimes,Reaves,Sandro,Thiero"
Ayton/Grimes/Reaves/Sandro/Vanderbilt,2.96,"Ayton,Grimes,Reaves,Sandro,Vanderbilt"
Ayton/Grimes/Reaves/Sexton/Thiero,1.16,"Ayton,Grimes,Reaves,Sexton,Thiero"
Ayton/Grimes/Reaves/Sexton/Vanderbilt,-1.8,"Ayton,Grimes,Reaves,Sexton,Vanderbilt"
Ayton/Grimes/Reaves/Thiero/Vanderbilt,7.03,"Ayton,Grimes,Reaves,Thiero,Vanderbilt"
Ayton/LaRavia/Luka/Reaves/Sandro,5.86,"Ayton,LaRavia,Luka,Reaves,Sandro"
Ayton/LaRavia/Luka/Reaves/Vanderbilt,-0.07,"Ayton,LaRavia,Luka,Reaves,Vanderbilt"
Ayton/LaRavia/Luka/Sexton/Thiero,-4.55,"Ayton,LaRavia,Luka,Sexton,Thiero"
Ayton/LaRavia/Reaves/Sandro/Sexton,1.0,"Ayton,LaRavia,Reaves,Sandro,Sexton"
Ayton/LaRavia/Reaves/Sandro/Vanderbilt,0.36,"Ayton,LaRavia,Reaves,Sandro,Vanderbilt"
Ayton/LaRavia/Reaves/Sexton/Thiero,3.47,"Ayton,LaRavia,Reaves,Sexton,Thiero"
Ayton/LaRavia/Reaves/Sexton/Vanderbilt,-1.5,"Ayton,LaRavia,Reaves,Sexton,Vanderbilt"
Ayton/Luka/Reaves/Sandro/Thiero,3.74,"Ayton,Luka,Reaves,Sandro,Thiero"
Ayton/Luka/Reaves/Sandro/Vanderbilt,4.56,"Ayton,Luka,Reaves,Sandro,Vanderbilt"
Ayton/Luka/Reaves/Thiero/Vanderbilt,1.57,"Ayton,Luka,Reaves,Thiero,Vanderbilt"
Ayton/Luka/Sandro/Sexton/Thiero,1.01,"Ayton,Luka,Sandro,Sexton,Thiero"
Ayton/Luka/Sandro/Sexton/Vanderbilt,1.29,"Ayton,Luka,Sandro,Sexton,Vanderbilt"
Ayton/Reaves/Sandro/Sexton/Thiero,0.14,"Ayton,Reaves,Sandro,Sexton,Thiero"
Ayton/Reaves/Sandro/Sexton/Vanderbilt,-2.75,"Ayton,Reaves,Sandro,Sexton,Vanderbilt"
Ayton/Reaves/Sexton/Thiero/Vanderbilt,3.0,"Ayton,Reaves,Sexton,Thiero,Vanderbilt"
Grimes/Kessler/LaRavia/Looney/Luka,12.28,"Grimes,Kessler,LaRavia,Looney,Luka"
Grimes/Kessler/LaRavia/Luka/Reaves,11.64,"Grimes,Kessler,LaRavia,Luka,Reaves"
Grimes/Kessler/LaRavia/Luka/Sandro,10.71,"Grimes,Kessler,LaRavia,Luka,Sandro"
Grimes/Kessler/LaRavia/Luka/Sexton,3.87,"Grimes,Kessler,LaRavia,Luka,Sexton"
Grimes/Kessler/LaRavia/Luka/Thiero,5.4,"Grimes,Kessler,LaRavia,Luka,Thiero"
